"","score"
"10x13",0.0695864411408285
"10x14",0.047636928433665
"10x15",0.0401781904453054
"10x16",0.107050811585793
"10x17",0.0758333475567086
"10x18",0.0831384730922187
"10x19",0.0350065711993719
"10x20",0.0855962723378108
"10x21",0.135554455614535
"10x22",0.0880711396337196
"10x23",0.134752257249654
"10x24",0.175049924047176
"10x25",0.0920650634078069
"10x26",0.192886036628036
"10x27",0.157811193227398
"10x28",0.105548823157931
"10x29",0.115448292341566
"10x30",0.153407636245712
"11x14",0.0404683473006878
"11x15",0.0321562067964976
"11x16",0.0885149089419516
"11x17",0.0242536994999061
"11x18",0.0318660499411152
"11x19",0.0604891703220741
"11x20",0.120602843537183
"11x21",0.134735189199338
"11x22",0.0894024475584154
"11x23",0.119749441021352
"11x24",0.146392667565584
"11x25",0.164109303794228
"11x26",0.119732372971036
"11x27",0.199218283295499
"11x28",0.127839696871426
"11x29",0.106675314478827
"11x30",0.156223864547953
"12x14",0.0832750174947516
"12x15",0.128044513475226
"12x16",0.04398436566591
"12x17",0.037600914847497
"12x18",0.0853573196333783
"12x19",0.0709348171158409
"12x20",0.0922016078103398
"12x21",0.0921333356090734
"12x22",0.106948403283893
"12x23",0.120124938128318
"12x24",0.103073955862022
"12x25",0.127925037123009
"12x26",0.16948573964396
"12x27",0.113946303913704
"12x28",0.124255406304938
"12x29",0.12369216064449
"12x30",0.128573623035041
"13x15",0.0319343221423817
"13x16",0.0560514772397549
"13x17",0.0844527129665978
"13x18",0.0668043489392207
"13x19",0.0826776357336701
"13x20",0.0403147348478383
"13x21",0.121934151461879
"13x22",0.0886514533444845
"13x23",0.140077488948437
"13x24",0.134342624042056
"13x25",0.138950997627541
"13x26",0.123948181399239
"13x27",0.123077710833092
"13x28",0.120278550581167
"13x29",0.136151837375617
"14x17",0.0493949376162761
"14x18",0.0555394357302565
"14x19",0.101025789824028
"14x20",0.156377477000802
"14x21",0.117615934731776
"14x22",0.0588506374916793
"14x23",0.10162317158511
"14x24",0.112341907183942
"14x25",0.121951219512195
"14x26",0.10474662479305
"14x27",0.112853948693441
"14x28",0.133506289576542
"14x29",0.158647527692912
"14x30",0.122036559763778
"15x17",0.0447012237792077
"15x18",0.0688354469268975
"15x19",0.0981242212702043
"15x20",0.0678113639079008
"15x21",0.0715834030278721
"15x25",0.11401457611497
"15x26",0.14646093976685
"15x27",0.165372339517657
"15x28",0.156019047944153
"15x29",0.0855109320862278
"15x30",0.116625987813412
"16x18",0.0906142791308949
"16x19",0.0561709535919712
"16x20",0.0872860093191555
"16x21",0.0679308402601171
"16x22",0.106880131082626
"16x23",0.0788714605130656
"16x24",0.0994896652955333
"16x25",0.113297718001673
"16x26",0.0897779446653809
"16x27",0.11416818856782
"16x28",0.0804246530918773
"16x29",0.12475037976412
"16x30",0.112751540391541
"17x20",0.14963559712574
"17x21",0.141579477376299
"17x24",0.142569424294663
"17x25",0.124579699260953
"17x26",0.14968680127669
"17x27",0.12449435900937
"17x29",0.124306610455888
"17x30",0.146051306559252
"18x19",0.035177251702538
"18x21",0.0947276792571985
"18x22",0.131389851337282
"18x23",0.102971547560122
"18x24",0.111590912970011
"18x25",0.14243287989213
"18x26",0.13814879926266
"18x28",0.128163989827442
"18x29",0.103449452968987
"18x30",0.108091962655106
