"","score"
"10x10",0.426670023497818
"10x11",0.374639140651225
"10x12",0.297499160792212
"10x13",0.358543135280295
"10x14",0.413628734474656
"10x15",0.440835850956697
"10x16",0.489526686807654
"10x17",0.401477005706613
"10x18",0.374102047667002
"10x19",0.29889224572004
"10x20",0.459818731117825
"10x21",0.320040281973817
"10x22",0.270140986908359
"10x23",0.374790198053038
"10x24",0.400486740516952
"10x25",0.298002685464921
"10x6",0.36067472306143
"10x7",0.388905673044646
"10x8",0.391960389392414
"10x9",0.283299765021819
"11x10",0.32173548170527
"11x12",0.360607586438402
"11x13",0.406226921785834
"11x14",0.423044645854314
"11x15",0.322524337025848
"11x16",0.356143001007049
"11x17",0.462051023833501
"11x18",0.509130580731789
"11x19",0.387965760322256
"11x20",0.382426988922457
"11x21",0.35016784155757
"11x22",0.221416582745888
"11x23",0.303675730110775
"11x24",0.352316213494461
"11x25",0.34739845585767
"11x26",0.351443437395099
"11x5",0.462621685129238
"11x6",0.290668009399127
"11x7",0.412571332661967
"11x8",0.368479355488419
"11x9",0.34850621013763
"12x10",0.415491775763679
"12x11",0.351342732460557
"12x12",0.425159449479691
"12x13",0.387009063444109
"12x14",0.281419939577039
"12x15",0.344729775092313
"12x16",0.405840886203424
"12x17",0.476888217522659
"12x18",0.453054716347768
"12x19",0.430664652567976
"12x20",0.347549513259483
"12x21",0.308492782813025
"12x22",0.333601879825445
"12x23",0.433719368915744
"12x24",0.364400805639476
"12x25",0.361513930849278
"12x26",0.354934541792548
"12x27",0.35337361530715
"12x28",0.39944612286002
"12x5",0.304951325948305
"12x6",0.362437059415911
"12x7",0.37638469284995
"12x8",0.314283316549178
"12x9",0.411245384357167
"13x10",0.425260154414233
"13x11",0.48147029204431
"13x12",0.361278952668681
"13x13",0.380228264518295
"13x14",0.39474655924807
"13x15",0.266112789526687
"13x16",0.364585431352803
"13x17",0.377895266868077
"13x18",0.358089963074857
"13x19",0.344125545485062
"13x20",0.319352131587781
"13x21",0.339828801611279
"13x22",0.292245720040282
"13x23",0.29944612286002
"13x24",0.305018462571333
"13x25",0.366247062772743
"13x26",0.244712990936556
"13x27",0.241775763679087
"13x28",0.353893924135616
"13x5",0.426435045317221
"13x6",0.407066129573682
"13x7",0.418865391070829
"13x8",0.370476670023498
"13x9",0.427072843235985
"14x10",0.312823094998322
"14x11",0.396861362873447
"14x12",0.413225914736489
"14x13",0.384944612286002
"14x14",0.26664988251091
"14x15",0.256629741524001
"14x16",0.383098355152736
"14x17",0.194998321584424
"14x18",0.334206109432696
"14x19",0.388083249412555
"14x20",0.311816045652904
"14x21",0.404179254783484
"14x22",0.313813360187983
"14x23",0.32787848271232
"14x24",0.261278952668681
"14x25",0.341305807317892
"14x26",0.302870090634441
"14x27",0.323850285330648
"14x28",0.434541792547835
"14x29",0.386069150721719
"14x5",0.376485397784491
"14x6",0.368932527693857
"14x7",0.312688821752266
"14x8",0.254783484390735
"14x9",0.339929506545821
"15x10",0.432712319570326
"15x11",0.355824102047667
"15x12",0.481873111782477
"15x13",0.475243370258476
"15x14",0.317153407183619
"15x15",0.328314870762001
"15x16",0.406327626720376
"15x17",0.298858677408526
"15x18",0.487764350453172
"15x19",0.290416247062773
"15x20",0.281067472306143
"15x21",0.439123867069486
"15x22",0.329540114132259
"15x23",0.223934206109433
"15x24",0.329674387378315
"15x25",0.364333669016448
"15x26",0.34739845585767
"15x27",0.326552534407519
"15x28",0.410574018126888
"15x29",0.29009734810339
"15x30",0.144897616649883
"15x5",0.496743873783149
"15x6",0.425545485062101
"15x7",0.521836186639812
"15x9",0.438284659281638
"16x10",0.422591473648876
"16x11",0.501477005706613
"16x12",0.415088956025512
"16x13",0.332141658274589
"16x14",0.442900302114804
"16x15",0.442967438737832
"16x16",0.31554212823095
"16x17",0.318580060422961
"16x18",0.437495803961061
"16x19",0.30337361530715
"16x20",0.282762672037597
"16x21",0.366532393420611
"16x22",0.358173883853642
"16x23",0.243722725746895
"16x24",0.334474655924807
"16x25",0.332510909701242
"16x26",0.388956025511917
"16x27",0.279707955689829
"16x28",0.186002014098691
"16x29",0.200151057401813
"16x30",0.256998992950655
"16x6",0.372742531050688
"16x7",0.474202752601544
"16x8",0.380949983215844
"16x9",0.411161463578382
"17x10",0.456025511916751
"17x11",0.382108089963075
"17x12",0.417472306143001
"17x13",0.474706277274253
"17x14",0.428952668680765
"17x15",0.371064115474992
"17x16",0.325159449479691
"17x17",0.396089291708627
"17x18",0.366935213158778
"17x19",0.319939577039275
"17x20",0.280127559583753
"17x21",0.389694528365223
"17x22",0.313930849278281
"17x23",0.267623363544814
"17x24",0.297146693521316
"17x25",0.304632426988922
"17x26",0.170661295736824
"17x27",0.329674387378315
"17x28",0.340751930177912
"17x29",0.322927156764015
"17x30",0.344209466263847
"17x31",0.309785162806311
"17x7",0.425075528700906
"17x8",0.459667673716012
"17x9",0.369251426653239
"18x10",0.37732460557234
"18x11",0.357787848271232
"18x12",0.439996643168849
"18x13",0.388100033568311
"18x14",0.363561597851628
"18x15",0.301292379993286
"18x16",0.383383685800604
"18x17",0.517405169519973
"18x19",0.439509902651897
"18x20",0.335901309164149
"18x21",0.293840214837194
"18x22",0.274404162470628
"18x23",0.267757636790869
"18x24",0.288251090970124
"18x25",0.296492111446794
"18x26",0.290130916414904
"18x27",0.252165156092649
"18x28",0.416381336018798
"18x29",0.33091641490433
"18x30",0.324639140651225
"18x31",0.338083249412555
"18x32",0.398724404162471
"18x8",0.411463578382007
"18x9",0.435918093319906
"19x10",0.424941255454851
"19x11",0.488167170191339
"19x12",0.253709298422289
"19x13",0.401359516616314
"19x14",0.395971802618328
"19x15",0.43014434373951
"19x16",0.318496139644176
"19x17",0.363209130580732
"19x18",0.412202081235314
"19x19",0.340130916414904
"19x20",0.362286002014099
"19x21",0.382628398791541
"19x22",0.343991272239006
"19x23",0.252383350117489
"19x24",0.32212151728768
"19x25",0.308123531386371
"19x26",0.344528365223229
"19x27",0.382275931520645
"19x28",0.423716012084592
"19x29",0.39739845585767
"19x30",0.291272239006378
"19x31",0.42903658945955
"19x32",0.283987915407855
